Nama_Hotel,Rating,Image,Latitude,Longitude
SACCA RESIDENCE & RESTO,"3,9",https://lh5.googleusercontent.com/p/AF1QipOiuv_zx-EZlyhgdqEVYmG5CCvrD4dSatEE0eQu=w80-h177-k-no,-9.663703,120.271478
Dena Hotel,"4,2",https://lh3.googleusercontent.com/gps-proxy/AMy85WJkDQt58sTPVRdeM-DPfwsL3-oQJtcoITennZ_kx-K0sMjYuHjv_efpJ_E_rmlZG36lcGH1clJ1EAK8RxXr8bfX4xj8qGKp7IiBTZwnyVK2xedMun25PrR1nQqrpPcfn9eGXiHkx8RaBUcR2IHKSkG3uQB7zcCiMNfKFX8UzemvJ2IHhuGwZc2O=w160-h92-k-no,-9.858455,124.285726
Omah Backpacker - Hotel dan Penginapan Murah di Malang,"4,2",https://lh5.googleusercontent.com/p/AF1QipNhKV1gUwwiredt1PNb61uwY-J_CZNa5sEOYVjO=w122-h92-k-no,-7.900223,112.603526
Syariah Guest House,"4,2",https://lh5.googleusercontent.com/p/AF1QipOViy4YLGE79i71rtVFJOcfwmC-yE0VJwWuoLo7=w122-h92-k-no,-7.9124805,112.6425203
Rayz UMM Hotel Malang,"4,5",https://lh5.googleusercontent.com/p/AF1QipO-eoel-iLQdzTM410HtFREj6CsLx0VMeXc15Q7=w138-h92-k-no,-7.9207036,112.5937484
hotel,"5,0",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Qjy2v100bZUT6gQtd7Uztg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=159.56311&pitch=0&thumbfov=100,-7.9339577,112.600502
pandanwangi homestay syariah (hotel murah malang),"4,6",https://lh5.googleusercontent.com/p/AF1QipOSs7YsnpyzUOAdd7Xv4Y6mghXS0tWte2iVbUq0=w80-h106-k-no,-7.9543055,112.6594198
The Singhasari Resort,"4,7",https://lh3.googleusercontent.com/gps-proxy/AMy85WI666OCsw1U_zpmwAhd5azZD91Wihajh3ehAFk3nAQDGt5IMFb5mPvwYZ-by5cLSpoJ_2S3gfBj9u0xqR-7KTACNg5VQSg7VryrUEl11ZC1n1bmL_bc8QOzaE-j-kD0ad-UPOlZiZSLFKSMJR-tFOowD_v6Q_v-ihsuFcQ97SwnTyGXUAv5YWIZ=w145-h92-k-no,-7.893131,112.550214
éL Hotel Malang,"4,2",https://lh5.googleusercontent.com/p/AF1QipPF18t9fX8PryNkL-q2JK65ZVPXTqtyw27-M7G3=w163-h92-k-no,-7.9022006,112.6056572
Hotel Pelangi Dua,"3,8",https://lh5.googleusercontent.com/p/AF1QipNLPMQLJQKQU0M2joptg0kjXZcTi3LCJHvLXNIH=w122-h92-k-no,-7.9463515,112.6081828
Ijen Suites Resort & Convention Malang,"4,6",https://lh5.googleusercontent.com/p/AF1QipOcKlbbAO8T-Tda_rPqDS8cOySsu5U4dxsDShg2=w122-h92-k-no,-7.9810379,112.6156218
RedDoorz @ Lawang,"4,4",https://lh3.googleusercontent.com/gps-proxy/AMy85WJdVZs4wAz9nc_TpzqjBpDeKmiHHgEJOKMsR9MqxuYhxYmObOhf-ChGcJBpMXkTvazOVqzj3FAqnAUpOp5nGlh3um_s4ZwLzqVXYyEnffaxpjjgKgiJoIsBfLEbfC2t_3fJoHU0U0aHun2qt4AoCGv2OanB2BnspMFlXCUQtobITD-SMUolGOI5Tg=w138-h92-k-no,-7.8279381,112.6982582
Sibayak Homestay,"4,3",https://lh5.googleusercontent.com/p/AF1QipPzJ9lchZDiWTqCHGC54p42U-fJuD9RN3NJiYs=w122-h92-k-no,-7.9679738,112.6095643
"Homestay Syariah, Penginapan Murah, Backpackers, Tempat Istirahat, Transit.(RASFA Homestay Syariah)","4,0",https://lh5.googleusercontent.com/p/AF1QipOa5MXqItiPu5mkgO_y0Q1UqQEK4n8OsqVjm2BQ=w122-h92-k-no,-7.9741262,112.6363872
Pinky Guest House Hotel & Villa,"4,4",https://lh5.googleusercontent.com/p/AF1QipNwmVdnfASOhXRuTH1hKnDnr-s5EtQQV9M4GA67=w137-h92-k-no,-7.8696872,112.5156688
Hotel Serayu,"3,9",https://lh3.googleusercontent.com/gps-proxy/AMy85WKNSQg5jNW6B8lPNIkVmj7v_kw_ascfiCNHZlCPEFu6wqX5k8o4QEFtQ9fhj8-e8IcBtYqctw7YjskwpRglyxfAd1fxihT02oL7qs125NxXXbWmu_sTnUW-sFRWpOklDqjZ1RybmfaFO38-RLtsPFHV-svhYnKuDr13I3UTDGThCdSRhwDyaWlLQBYS1zzCDhcUPqk=w122-h92-k-no,-7.9625088,112.6400866
Hotel Selecta,"4,4",https://lh3.googleusercontent.com/gps-proxy/AMy85WLu-dODfUHq3D-S3XcL_nrpRyLViuR3hi4wi-EmXmudcvru1oH2_oR485PAAbAaWjggNlJS14AHOaq5Df7YTw6JAqXzdin_-8GOHSoVWAct84jV00v18tFmQj5NoaA9Z58Lhfj6lRO4BwwP2xkkVOTs2Y4d8Ne7peTaTxyUySfkK-FgSlKiZRul=w138-h92-k-no,-7.822375,112.52702
Hotel Asida,"4,1",https://lh3.googleusercontent.com/gps-proxy/AMy85WI4GRlOccg_cIS252IfLBihl3AXRomGu67vFD5oH44lLIgeIH7cjf1Jewh6fSvTw6LZUhdqYInouCq5uPDX_S60_BYwektLgyHsEx9vSfD5WKh5WGYV3oVGcRwOc-ZuSZWPRhzdbTI6UC4V-TF13wg8mL859w_PotH4AMo_aWNw1IMivOFL3Sa2HEMLZeEVmXnY8aI=w122-h92-k-no,-7.8674991,112.5144631
Senyum World Hotel,"4,6",https://lh5.googleusercontent.com/p/AF1QipMNSm0YaK69kxdq_mlHwEB_cYvv_vPZw_2DrCzM=w138-h92-k-no,-7.896527,112.5527418
Joyo Homestay Syariah (penginapan murah malang),"4,4",https://lh5.googleusercontent.com/p/AF1QipOmEoT8xw7Dxi6bNLEMq-DJI4i_HnyPMcNcZqkZ=w163-h92-k-no,-7.9412704,112.5996786
Pitta Guest House,"4,5",https://lh5.googleusercontent.com/p/AF1QipOvr2WOrPPfLr_3VfykN63PM8nebFD1FgwltFIc=w96-h92-k-no,-7.9482252,112.5513289
Sigit Home Stay,"3,9",https://lh5.googleusercontent.com/p/AF1QipPu3QXWq-SQopRhphNJM-cFLFjoniM3HtXH1wNk=w80-h106-k-no,-7.8218947,112.7026677
RedDoorz @ Karangploso 2,"4,9",https://lh3.googleusercontent.com/gps-proxy/AMy85WJfG1bHUm7ExWcFEt_JKKPHHMJc0sKJiiiecnhYhn9yQPv1n8Z7ROKPRqMTK5A2WPf4hx9raxpQLETxZ0G4GNSvUWgBbpuV0rA8_p1wc40zOpyjJjF8R9uHzYc4cPpqSLOmUIGLB6skU6CSru7-Rlb5ECfYmKLaHLsu7Xhz1iUZWskw7bQ8HlN3=w138-h92-k-no,-7.8720035,112.5779994
Penginapan Kenkei,"4,1",https://lh5.googleusercontent.com/p/AF1QipObh603G5W8_tekpxEOjHikgcDrOrLYg8ZFUsKH=w91-h92-k-no,-7.8941804,112.5328322
Nusa Indah Homestay,"2,0",https://lh5.googleusercontent.com/p/AF1QipNnYoYEC0_et34Uqb-dOp9qDs5tpBHs4TNULAOF=w80-h141-k-no,-7.9086275,112.5387405
SPOT ON 92568 Penginapan Joglo Syariah,"4,2",https://lh5.googleusercontent.com/p/AF1QipPHs0wPD8yWNoOPJJXEMKluIf89oQTZ3lFMEWZo=w137-h92-k-no,-8.1186834,112.5670108
DE LAIA INN MALANG,"4,6",https://lh5.googleusercontent.com/p/AF1QipPtZ5D3xzqMialfZBud4eGN5p2ywWkUyUrTRotd=w138-h92-k-no,-7.9436566,112.6180654
Kontena Hotel,"4,7",https://lh5.googleusercontent.com/p/AF1QipMaeK1A5AQuANnyqX_LDywIa5wzuV_FHlcl5xj7=w163-h92-k-no,-7.8816809,112.5294021
Hotel,"4,5",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=csYv2uj-XcfMgbcTSfhCLw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=280.2042&pitch=0&thumbfov=100,-7.9429364,112.6170452
Shanaya Resort Malang,"2,8",https://lh3.googleusercontent.com/gps-proxy/AMy85WKfSPih1Q8A1j8t6gsW2cpaP18AeeoNrO6Iy0kRWeHExYWbbOo58xAkMyfLyJioK1HCUf_nfIlJP-sZ3qmtzhaCVLx5FKXCzEyzRQDYYXzuG08uyfnTA2BzGBxFNVUYEhneerdXN_fVAITiFScIQop9STWRKUyjptl8C9OyVj2Iz5JfS0312u0QdA=w130-h92-k-no,-7.9004853,112.6107756
"Fayfai homestay Malang (Penginapan di batu Malang, Kos harian Malang, dekat UMM, Murah)","4,6",https://lh5.googleusercontent.com/p/AF1QipNuwyOimWsr0ljW19ssvgugSiNACOiiA2pN6zQI=w163-h92-k-no,-7.9266861,112.5847492
OYO 90786 De Campus Homestay Syariah,"3,9",https://lh5.googleusercontent.com/p/AF1QipO2fn2FKLuUlScloGS3iZPosubw7F5A6u40xGU3=w137-h92-k-no,-7.916333,112.6318693
Swiss-Belinn Malang,"4,4",https://lh5.googleusercontent.com/p/AF1QipPkqFe7Yty3FrusTwvl8pm74IHZhArSZlIG893u=w138-h92-k-no,-7.9554679,112.6187277
Pasuruan Hotel,"3,7",https://lh3.googleusercontent.com/gps-proxy/AMy85WKyaMQMFtEZn4rmlO6MJiofslXiOySg_hG-4S_jLRkgvXvePh4Vs4CdPLShf0DCf4TeZm6sqLCZHhz3c1ou1q0riUmP8QLZM9scuKdBD6WBqYgzTwWLM-4g4Wbst8qgQL3Z4-L_u3ew3d2jUUBcUOjo2ChD4i2SeaFH5FP-ZzI2QpeWkTRyy4vRDkLL2ZKecHssXBI=w122-h92-k-no,-7.6446436,112.9042163
OYO 90679 Kendal Homestay Syariah,"4,7",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3uO4Z1aTGBeW66Ml8OgZDA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=257.15823&pitch=0&thumbfov=100,-7.9454495,112.6271583
OYO 90320 Merak Guest House,"4,3",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=D_7VQqZ3KY9bKxVbmp1FIQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=276.86765&pitch=0&thumbfov=100,-7.9492123,112.6222352
Mandala Puri,"4,5",https://lh3.googleusercontent.com/gps-proxy/AMy85WLRy7dQhO3u6qZGAUIqbx9WO7sFVXsYqglxDGKhFnOZ1M-U1mrmFVDcJSU1vi6mE087IlD_8jOQK_EvuFskIYhi5KumIJYQCxtAKQDR7ueJS3olxTMJOa6IfVTOcr9RLRX23V-TLdUO3Hk6axgrMUj3p2OGKTL8E6FtLMFZZmH1pmycplTfUuG2VQ=w122-h92-k-no,-7.9721553,112.638253
CITARUM HOMESTAY MALANG,"4,0",https://lh5.googleusercontent.com/p/AF1QipNMmPyruHy8mhNig4uwibiOg-2QL_KAtRfx2bjS=w138-h92-k-no,-7.9145788,112.6341648
Hotel Murah Bersih Malang,"4,4",https://lh5.googleusercontent.com/p/AF1QipMxqZonERyeoWwatBBbDiL4zzMxLqxrDs5qViFN=w80-h106-k-no,-7.9690222,112.6425863
Penginapan,"4,9",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iKclVhMsgVK6xB5TMOpwgw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=26.359653&pitch=0&thumbfov=100,-7.984531,112.634502
KoolKost Syariah @ Sigura-Gura Malang,"4,6",https://lh5.googleusercontent.com/p/AF1QipNzFtckj3DRok5xSdEYkZkjC__p7U_0-rAidp9u=w138-h92-k-no,-7.9590153,112.6057764
Hotel Manisa,"3,9",https://lh5.googleusercontent.com/p/AF1QipPcgC5VSr98AL0tvOsDDCrWwfQVx7tTfAkMiNEk=w122-h92-k-no,-8.0130243,112.6418706
Malang Hill Gallery & Homestay,"4,4",https://lh5.googleusercontent.com/p/AF1QipPIerdZt76rAIgNzB6hraW3eeQtcPN1N6NYc8Av=w137-h92-k-no,-7.999511,112.652672
Bayleaf Guest House Syariah Batu,"4,2",https://lh5.googleusercontent.com/p/AF1QipMCuvmmPWfKfhcWyu0HAgI9fIrG-feW1ABCkNFP=w137-h92-k-no,-7.8766722,112.5333826
Kamar,"4,1",https://maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png,-7.9682307,112.6297121
OYO 90684 Happy Homestay Syariah,"3,7",https://lh3.googleusercontent.com/gps-proxy/AMy85WKLTKLcDIMLGvu0F7DiXDVhVYp5zdj-fiEJ00sUHXGei-2PwScc5RSABU9lAfowF9abNlGP49l9MVMo_-aigxI90ftHy8LnnmRCytgv11wTF_VrBrhBDfRD3Dd5yyzXPMxsAcyOBCLHbLL1IZU8-8oDpSe2ByGsWC7t_mkZG999dX42iiZzJda7dg=w138-h92-k-no,-7.9351406,112.7005862
SPOT ON 90797 Sukun Syariah Homestay,"4,0",https://lh5.googleusercontent.com/p/AF1QipMUS3yFzsGOQmYVrLqdcTUEy97e_bD_weWUJp5F=w137-h92-k-no,-8.0091813,112.6203767
Hotel,"4,2",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lbPiTx8gxIyfT8X5Dy8WLQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=111.05763&pitch=0&thumbfov=100,-7.9713856,112.6689389
Kusuma Agrowisata Resort & Convention Hotel,"3,8",https://lh5.googleusercontent.com/p/AF1QipPN5oNcwwDrjIh0L7-Ic56bSxtYezLeSA6bFqY=w80-h119-k-no,-7.883519,112.5147005
OYO 353 Loesje Guest House Syariah,"5,0",https://lh5.googleusercontent.com/p/AF1QipN-BQtuRoNwnPRxZybc81Nyq00-aBsjteQJ_hYT=w137-h92-k-no,-7.977183,112.624936
RedDoorz Hostel near Malang Train Station 3,"4,6",https://lh5.googleusercontent.com/p/AF1QipNnUlzswtN9gTFbM2woisknC3ExcQjpxsvYf4KV=w138-h92-k-no,-7.9763069,112.6299665
Guest House Syariah,"5,0",https://lh5.googleusercontent.com/p/AF1QipMp1CVKun4pVqA2af8ZbeYSYAvnG-btnhJBBqnt=w163-h92-k-no,-7.8923018,112.5497805
OYO 93040 Calatheya Homestay Syariah,"5,0",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JtuT8mxTabI9gxB2TjpPyQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=123.99922&pitch=0&thumbfov=100,-7.9283208,112.607144
Hotel,"4,3",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=n8pM8YEbvWgYQMlPUo6SFw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=163.03423&pitch=0&thumbfov=100,-7.9512437,112.6136425
Ancala Inn Bromo,"3,0",https://lh5.googleusercontent.com/p/AF1QipMLexi1XV6WIUs8qL9nHolTkx903R8aT4Z9pywn=w122-h92-k-no,-7.8872403,112.9022555
