Name,City,Rating,Latitude,Longitude
BIN DAOD HOTEL,Aceh Barat,4.1,4.1558816,96.138577
EVA SKY HOTEL,Aceh Barat,4.4,4.163213,96.1321874
RedDoorz Syariah @ Jalan Gajah Mada Meulaboh,Aceh Barat,4.2,4.1546106,96.130707
Hotel Meuligoe,Aceh Barat,3.8,4.1440329,96.1256246
Hotel Tiara Meulaboh,Aceh Barat,3.7,4.1430734,96.1272596
CASA TRIPA,Aceh Barat,4.9,4.154738399999999,96.1210098
Grand Emperom,Banda Aceh City,4.8,5.527447,95.2953434
Kumala Hotel,Banda Aceh,4.3,5.5514097,95.3453482
Beringin Familiar Hotel,Aceh Barat,3.8,4.1583951,96.1216858
Grand Nagan Hotel,Nagan Raya,3.8,4.1128366,96.2900202
WISMA PUTRO CUT,Aceh Barat,4.0,4.1445924,96.124805
Losmen Aiva,Aceh Barat,4.2,4.149163199999999,96.1318168
My Home Hotel Aceh,Banda Aceh,5.0,5.5562488,95.3201863
Monalisa Homestay,West Aceh Regency,5.0,4.1617123,96.123657
Losmen Laris,West Aceh Regency,3.9,4.1473498,96.130937
Losmen Cakra,Aceh Barat,4.1,4.154813,96.1306368
Homestay Hilal Syariah,Aceh Barat,4.8,4.1657614,96.1199193
Sei Hotel,Banda Aceh,3.8,5.562886300000001,95.322882
Losmen Mustika,Aceh Barat,3.8,4.1488151,96.1274173
Hotel GM Inn,Banda Aceh,4.2,5.557826599999999,95.321039
Grand Leuser Hotel,Southwest Aceh Regency,4.0,3.741005,96.8328867
RedDoorz Syariah near Pantai Bali Abdya Blang Pidie,Southwest Aceh Regency,4.4,3.7332266,96.8460907
Khana Pakat,Southwest Aceh Regency,4.6,3.739463,96.8411455
Arena Motel,Aceh Barat Daya,4.1,3.736885,96.8356303
OYO 3080 Wisma Granova,Southwest Aceh Regency,4.3,3.7266232,96.8109068
Wisma Harisqi,Aceh Barat Daya,4.0,3.7387427,96.8419534
BIN DAOD HOTEL,Aceh Barat,4.1,4.1558816,96.138577
EVA SKY HOTEL,Aceh Barat,4.4,4.163213,96.1321874
Hotel Bayu Hill,Aceh Tengah,3.9,4.6232586,96.8467951
My Home Hotel Aceh,Banda Aceh,5.0,5.5562488,95.3201863
Grand Nagan Hotel,Nagan Raya,3.8,4.1128366,96.2900202
RedDoorz Syariah @ Jalan Gajah Mada Meulaboh,Aceh Barat,4.2,4.1546106,96.130707
