Place_Name,City,Images,Price,Rating,Lat,Long,Category,Description,Hotel
Monumen Nasional,Jakarta,https://www.iwarebatik.org/wp-content/uploads/2019/11/monas.jpg,20000,2,-6.1753924,106.8271528,Budaya,"Monumen Nasional atau yang populer disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia untuk merebut kemerdekaan dari pemerintahan kolonial Hindia Belanda. Pembangunan monumen ini dimulai pada tanggal 17 Agustus 1961 di bawah perintah presiden Soekarno dan dibuka untuk umum pada tanggal 12 Juli 1975. Tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. Monumen Nasional terletak tepat di tengah Lapangan Medan Merdeka, Jakarta Pusat.",Ciputra
Kota Tua,Jakarta,https://akcdn.detik.net.id/visual/2020/09/01/kemenparekraf-iklan_169.jpeg?w=650,0,2,-6.1376448,106.8171245,Budaya,"Kota tua di Jakarta, yang juga bernama Kota Tua, berpusat di Alun-Alun Fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. Museum Sejarah Jakarta adalah bangunan era Belanda dengan lukisan dan barang antik, sedangkan Museum Wayang memamerkan boneka kayu khas Jawa. Desa Glodok, atau Chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. Di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan Sunda Kelapa yang kuno",Grand Tropic Suites Hotel
Dunia Fantasi,Jakarta,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201280gsm/events/2021/12/08/9c6ae660-1799-4276-b81d-f8b0b85669d6-1638949473006-1e6c55a1b1edca6bf250012af2cc79e2.jpg,270000,2,-6.1253124,106.8335377,Taman Hiburan,"Dunia Fantasi atau disebut juga Dufan adalah tempat hiburan yang terletak di kawasan Taman Impian Jaya Ancol, Jakarta Utara, Indonesia. Dufan diresmikan dan dibuka pada tanggal 29 Agustus 1985.",Menara Peninsula
Taman Mini Indonesia Indah (TMII),Jakarta,https://akcdn.detik.net.id/visual/2021/04/08/wisata-tmii_169.jpeg?w=650,10000,2,-6.3024459,106.8951559,Taman Hiburan,"Taman Mini Indonesia Indah merupakan suatu kawasan taman wisata bertema budaya Indonesia di Jakarta Timur. Area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6°18′6.8″LS,106°53′47.2″BT",Hotel Santika Premiere Jakarta
Atlantis Water Adventure,Jakarta,https://www.ancol.com/shared/images/5d3f526e-5729-4af1-8d31-5072bd832270.png,94000,2,-6.12419,106.839134,Taman Hiburan,"Atlantis Water Adventure atau dikenal dengan Atlantis Ancol akan menyuguhkan petualangan wisata air tak terlupakan. Tempat Wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. Yaitu kolam Antila, Plaza Atlas, Poseidon, Aquarius, Octopus, Kiddy Pool, dan Atlantean. Berlokasi di kawasan Ancol Jakarta Baycity, Atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang.",Twin Plaza
Taman Impian Jaya Ancol,Jakarta,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201280gsm/events/2021/12/14/d51b087c-0d57-409c-af21-480a5a429cbc-1639490594644-ad2647616fb079895bd280202c75a370.jpg,25000,2,-6.1173332,106.8579951,Taman Hiburan,Taman Impian Jaya Ancol merupakan sebuah objek wisata di Jakarta Utara.\n\n,Fm Boutique
Kebun Binatang Ragunan,Jakarta,https://sikidang.com/wp-content/uploads/Kebun-Binatang-Ragunan-Jakarta.jpg,4000,2,-6.3124593,106.8201865,Cagar Alam,"Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan, Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. Di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen.\nRagunan sempat ditutup selama sekitar tiga minggu sejak 19 September 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 Oktober 2005.Kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah",Comfort
Ocean Ecopark,Jakarta,https://cdn-2.tstatic.net/tribunnews/foto/bank/images/ocean-ecopark-ancol-taman-impian-jakarta-utara_20161221_184307.jpg,180000,2,-6.1258017,106.8363249,Taman Hiburan,"Ocean Ecopark Salah satu zona rekreasi Ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. Beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya : Outbondholic, Rumah Energy, Rumah Lebah, Kano, Paintball, Outbondholic, Eco-Market, Learning Farm, Eco-Bike, Faunaland. Kalau berencana berwisata ke Ocean Eco Park ancol tidak perlu khawatir dengan harga tiket masuknya. Karena harga tiket masuk Ocean Eco Park ditawarkan dengan harga yang masih terjangkau.",Hotel Grand Tjokro
Pelabuhan Marina,Jakarta,https://www.hotelmurah.com/ceritawisata/wp-content/uploads/2019/09/pelabuhan-marina-758x503.jpg,175000,2,1.07888,103.931398,Bahari,"Pelabuhan Marina Ancol berada di kawasan Taman Impian Jaya Ancol, Jakarta. Pelabuhan yang biasa disebut Dermaga Marina Ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja, tetapi juga dikembangkan untuk banyak hal, seperti wisata air, olahraga air maupun wahana bermain. Fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan Seribu, begitu juga sebaliknya. Banyak orang yang berada di Jakarta dan sekitarnya, menjadikan kepulaun Seribu sebagai tujuan wisata yang utama. Liburan di Pulau Seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan, sembari menikmati keindahan pantai yang masih terjaga dengan baik. Marina Ancol berada di Jakarta Utara atau secara lengkap beralamat di Kota Tua, Ancol, Pademangan, Kota Jakarta. Sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota. Selain itu, ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online.",Ibis Slipi
Pulau Tidung,Jakarta,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/d0/46/4a/pulau-tidung.jpg?w=1200&h=1200&s=1,150000,2,-5.8032053,106.5237907,Bahari,"Pulau Tidung adalah salah satu kelurahan di kecamatan Kepulauan Seribu Selatan, Kabupaten Kepulauan Seribu, Jakarta, Indonesia.",Pitagiri
